Zip Code ZCTA,State,City,2010 Census Population,Latitude,Longitude
1832,MA,Haverhill,22060,42.78,-71.08
1833,MA,Georgetown,8183,42.73,-70.98
1834,MA,Groveland,6459,42.75,-71.03
1835,MA,Haverhill,13682,42.78,-71.08
1840,MA,Lawrence,4733,42.7,-71.16
1841,MA,Lawrence,47225,42.7,-71.16
1843,MA,Lawrence,24425,42.7,-71.16
1844,MA,Methuen,47249,42.71,-71.18
1845,MA,North Andover,28352,42.7,-71.11
1850,MA,Lowell,15237,42.63,-71.32
1851,MA,Lowell,30190,42.63,-71.32
1852,MA,Lowell,33508,42.63,-71.32
1854,MA,Lowell,27606,42.63,-71.32
1860,MA,Merrimac,6338,42.83,-71
1862,MA,North Billerica,10227,42.57,-71.29
1863,MA,North Chelmsford,8891,42.63,-71.39
1864,MA,North Reading,14892,42.56,-71.06
1867,MA,Reading,23956,42.53,-71.1
1876,MA,Tewksbury,28667,42.61,-71.23
1879,MA,Tyngsboro,11305,42.68,-71.41
1880,MA,Wakefield,24733,42.5,-71.06
1886,MA,Westford,21951,42.58,-71.43
1887,MA,Wilmington,22325,42.55,-71.16
1890,MA,Winchester,21382,42.45,-71.14
1901,MA,Lynn,1689,42.47,-70.96
1902,MA,Lynn,45139,42.47,-70.96
1904,MA,Lynn,18203,42.47,-70.96
1905,MA,Lynn,25251,42.47,-70.96
1906,MA,Saugus,26660,42.46,-71.01
1907,MA,Swampscott,14027,42.46,-70.89
1908,MA,Nahant,3410,42.42,-70.92
1913,MA,Amesbury,16283,42.85,-70.92
1915,MA,Beverly,39502,42.55,-70.84
1921,MA,Boxford,7961,42.67,-70.98
1922,MA,Byfield,3108,42.75,-70.93
1923,MA,Danvers,26342,42.57,-70.95
1929,MA,Essex,3504,42.63,-70.77
1930,MA,Gloucester,28789,42.62,-70.66
1937,MA,Hathorne,151,42.57,-70.95
1938,MA,Ipswich,13175,42.67,-70.83
1940,MA,Lynnfield,12108,42.53,-71.04
1944,MA,Manchester,5136,42.56,-70.76
1945,MA,Marblehead,19808,42.5,-70.85
1949,MA,Middleton,8987,42.6,-71.01
1950,MA,Newburyport,17416,42.81,-70.88
1951,MA,Newbury,3558,42.8,-71
1952,MA,Salisbury,8283,42.83,-70.84
1960,MA,Peabody,50944,42.53,-70.97
1966,MA,Rockport,6952,42.64,-70.61
1969,MA,Rowley,5856,42.71,-70.87
1970,MA,Salem,41109,42.51,-70.9
1982,MA,South Hamilton,7764,42.62,-70.86
1983,MA,Topsfield,6089,42.63,-70.95
1984,MA,Wenham,4875,42.6,-70.88
1985,MA,West Newbury,4235,42.8,-71
2019,MA,Bellingham,16332,42.09,-71.47
2021,MA,Canton,21561,42.15,-71.13
2025,MA,Cohasset,7542,42.23,-70.8
2026,MA,Dedham,24711,42.24,-71.17
2030,MA,Dover,5589,42.24,-71.27
2032,MA,East Walpole,4226,42.15,-71.21
2035,MA,Foxboro,16865,42.06,-71.24
2038,MA,Franklin,31635,42.08,-71.38
2043,MA,Hingham,22157,42.23,-70.88
2045,MA,Hull,10293,42.3,-70.9
2047,MA,Humarock,180,42.19,-70.76
2048,MA,Mansfield,23184,42.02,-71.21
2050,MA,Marshfield,25429,42.09,-70.7
2052,MA,Medfield,12024,42.18,-71.3
2053,MA,Medway,12752,42.13,-71.4
2054,MA,Millis,7891,42.16,-71.35
2056,MA,Norfolk,10981,42.11,-71.31
2061,MA,Norwell,10506,42.16,-70.78
2062,MA,Norwood,28602,42.18,-71.19
2066,MA,Scituate,17656,42.18,-70.73
2067,MA,Sharon,17486,42.11,-71.18
2071,MA,South Walpole,1707,42.09,-71.27
2072,MA,Stoughton,26999,42.11,-71.1
2081,MA,Walpole,18472,42.13,-71.24
2090,MA,Westwood,14636,42.21,-71.21
2093,MA,Wrentham,10955,42.06,-71.33
2108,MA,Boston,3825,42.35,-71.06
2109,MA,Boston,3771,42.35,-71.06
2110,MA,Boston,1733,42.35,-71.06
2111,MA,Boston,7383,42.35,-71.06
2113,MA,Boston,6915,42.35,-71.06
2114,MA,Boston,11999,42.35,-71.06
2115,MA,Boston,28441,42.35,-71.06
2116,MA,Boston,20628,42.35,-71.06
2118,MA,Boston,26498,42.35,-71.06
2119,MA,Roxbury,25346,42.35,-71.06
2120,MA,Roxbury Crossing,15181,42.35,-71.06
2121,MA,Dorchester,25978,42.35,-71.06
2122,MA,Dorchester,23479,42.35,-71.06
2124,MA,Dorchester Center,47783,42.35,-71.06
2125,MA,Dorchester,33295,42.35,-71.06
2126,MA,Mattapan,25562,42.26,-71.1
2127,MA,Boston,31799,42.35,-71.06
2128,MA,Boston,40508,42.35,-71.06
2129,MA,Charlestown,16439,42.38,-71.06
2130,MA,Jamaica Plain,35401,42.3,-71.11
2131,MA,Roslindale,29826,42.28,-71.13
2132,MA,West Roxbury,25861,42.28,-71.16
2134,MA,Allston,21503,42.35,-71.13
2135,MA,Brighton,42780,42.35,-71.15
2136,MA,Hyde Park,28488,42.26,-71.11
2138,MA,Cambridge,36314,42.37,-71.11
2139,MA,Cambridge,36349,42.37,-71.11
2140,MA,Cambridge,17607,42.37,-71.11
2141,MA,Cambridge,11910,42.37,-71.11
2142,MA,Cambridge,3141,42.37,-71.11
2143,MA,Somerville,24514,42.39,-71.1
2144,MA,Somerville,23891,42.39,-71.1
2145,MA,Somerville,25439,42.39,-71.1
2148,MA,Malden,59503,42.43,-71.05
2149,MA,Everett,41550,42.4,-71.05
2150,MA,Chelsea,35124,42.39,-71.03
2151,MA,Revere,51808,42.41,-70.99
2152,MA,Winthrop,17497,42.37,-70.98
2155,MA,Medford,57964,42.42,-71.1
2163,MA,Boston,2582,42.35,-71.06
2169,MA,Quincy,55055,42.26,-71
2170,MA,Quincy,19505,42.26,-71
2171,MA,Quincy,17711,42.26,-71
2176,MA,Melrose,26983,42.45,-71.05
2180,MA,Stoneham,21437,42.47,-71.09
2184,MA,Braintree,35744,42.2,-71
2186,MA,Milton,27003,42.24,-71.08
2188,MA,Weymouth,14608,42.2,-70.94
2189,MA,East Weymouth,14559,42.2,-70.94
2190,MA,South Weymouth,16119,42.2,-70.94
2191,MA,North Weymouth,8457,42.2,-70.94
2199,MA,Boston,1146,42.35,-71.06
2203,MA,Boston,0,42.35,-71.06
2210,MA,Boston,2090,42.35,-71.06
2215,MA,Boston,26125,42.35,-71.06
2301,MA,Brockton,61025,42.08,-71.02
2302,MA,Brockton,32741,42.08,-71.02
2322,MA,Avon,4356,42.11,-71.03
2324,MA,Bridgewater,26563,41.98,-70.97
2330,MA,Carver,11509,41.88,-70.76
2332,MA,Duxbury,15059,42.04,-70.67
2333,MA,East Bridgewater,13794,42.03,-70.95
2338,MA,Halifax,7518,41.98,-70.86
2339,MA,Hanover,13879,42.11,-70.81
2341,MA,Hanson,10218,42.06,-70.85
2343,MA,Holbrook,10745,42.14,-71
2346,MA,Middleboro,23106,41.86,-70.9
2347,MA,Lakeville,10612,41.85,-70.95
2351,MA,Abington,16029,42.11,-70.95
2356,MA,North Easton,12564,42.05,-71.1
2357,MA,North Easton,1360,42.05,-71.1
2359,MA,Pembroke,17828,42.06,-70.8
2360,MA,Plymouth,56271,41.95,-70.66
2364,MA,Kingston,12629,41.99,-70.71
2366,MA,South Carver,197,41.83,-70.72
2367,MA,Plympton,2820,41.95,-70.81
2368,MA,Randolph,32158,42.17,-71.05
2370,MA,Rockland,17489,42.13,-70.91
2375,MA,South Easton,9188,42.03,-71.1
2379,MA,West Bridgewater,6916,42.01,-71
2382,MA,Whitman,14489,42.08,-70.93
2420,MA,Lexington,14052,42.44,-71.23
2421,MA,Lexington,17342,42.44,-71.23
2445,MA,Brookline,20679,42.32,-71.14
2446,MA,Brookline,29311,42.32,-71.14
2451,MA,Waltham,17426,42.38,-71.24
2452,MA,Waltham,14238,42.38,-71.24
2453,MA,Waltham,28968,42.38,-71.24
2457,MA,Babson Park,1432,42.29,-71.26
2458,MA,Newton,12131,42.33,-71.2
2459,MA,Newton Center,19095,42.31,-71.19
2460,MA,Newtonville,8742,42.35,-71.2
2461,MA,Newton Highlands,7059,42.31,-71.2
2462,MA,Newton Lower Falls,1554,42.33,-71.25
2464,MA,Newton Upper Falls,2953,42.31,-71.22
2465,MA,West Newton,11710,42.35,-71.22
2466,MA,Auburndale,8096,42.34,-71.24
2467,MA,Chestnut Hill,22491,42.31,-71.16
2468,MA,Waban,5273,42.32,-71.23
2472,MA,Watertown,32014,42.36,-71.17
2474,MA,Arlington,26312,42.41,-71.16
2476,MA,Arlington,16532,42.41,-71.16
2478,MA,Belmont,24664,42.39,-71.18
2481,MA,Wellesley Hills,16244,42.31,-71.27
2482,MA,Wellesley,10306,42.3,-71.28
2492,MA,Needham,19931,42.28,-71.24
2493,MA,Weston,11261,42.36,-71.26
2494,MA,Needham Heights,8955,42.28,-71.24
2532,MA,Buzzards Bay,12690,41.75,-70.61
2534,MA,Cataumet,842,41.66,-70.61
2535,MA,Chilmark,1177,41.34,-70.74
2536,MA,East Falmouth,19583,41.56,-70.55
2537,MA,East Sandwich,6293,41.73,-70.43
2538,MA,East Wareham,3603,41.77,-70.64
2539,MA,Edgartown,4067,41.38,-70.53
2540,MA,Falmouth,8221,41.56,-70.62
2542,MA,Buzzards Bay,1139,41.75,-70.61
2543,MA,Woods Hole,635,41.52,-70.66
2553,MA,Monument Beach,226,41.71,-70.6
2554,MA,Nantucket,9852,41.27,-70.1
2556,MA,North Falmouth,3115,41.64,-70.63
2557,MA,Oak Bluffs,4491,41.45,-70.56
2558,MA,Onset,2156,41.74,-70.66
2559,MA,Pocasset,3376,41.69,-70.63
2561,MA,Sagamore,539,41.78,-70.53
2562,MA,Sagamore Beach,2977,41.79,-70.53
2563,MA,Sandwich,10359,41.75,-70.49
2564,MA,Siasconset,310,41.27,-70
2568,MA,Vineyard Haven,4000,41.45,-70.6
2571,MA,Wareham,10481,41.76,-70.71
2575,MA,West Tisbury,2725,41.38,-70.67
2576,MA,West Wareham,3754,41.78,-70.75
2584,MA,Nantucket,10,41.27,-70.1
2601,MA,Hyannis,14089,41.65,-70.29
2630,MA,Barnstable,1850,41.7,-70.3
2631,MA,Brewster,9679,41.76,-70.08
2632,MA,Centerville,10742,41.66,-70.34
2633,MA,Chatham,3884,41.67,-69.96
2635,MA,Cotuit,3296,41.62,-70.44
2637,MA,Cummaquid,253,41.7,-70.24
2638,MA,Dennis,3207,41.73,-70.2
2639,MA,Dennis Port,2875,41.66,-70.13
2641,MA,East Dennis,532,41.74,-70.15
2642,MA,Eastham,4937,41.83,-69.96
2643,MA,East Orleans,26,41.74,-69.98
2644,MA,Forestdale,3955,41.68,-70.5
2645,MA,Harwich,9663,41.69,-70.07
2646,MA,Harwich Port,1676,41.66,-70.06
2647,MA,Hyannis Port,129,41.64,-70.3
2648,MA,Marstons Mills,7301,41.67,-70.4
2649,MA,Mashpee,14006,41.65,-70.48
2650,MA,North Chatham,848,41.7,-69.95
2651,MA,North Eastham,16,41.84,-69.97
2652,MA,North Truro,1175,42.04,-70.09
2653,MA,Orleans,5911,41.79,-70
2655,MA,Osterville,3518,41.62,-70.38
2657,MA,Provincetown,2942,42.06,-70.2
2659,MA,South Chatham,1108,41.68,-70.02
2660,MA,South Dennis,6261,41.7,-70.15
2663,MA,South Wellfleet,173,41.89,-69.98
2664,MA,South Yarmouth,9371,41.67,-70.2
2666,MA,Truro,828,42,-70.06
2667,MA,Wellfleet,2580,41.93,-70.03
2668,MA,West Barnstable,3278,41.7,-70.37
2669,MA,West Chatham,285,41.68,-69.99
2670,MA,West Dennis,1307,41.66,-70.16
2671,MA,West Harwich,1023,41.67,-70.11
2672,MA,West Hyannisport,180,41.66,-70.33
2673,MA,West Yarmouth,8402,41.65,-70.24
2675,MA,Yarmouth Port,6577,41.7,-70.22
2702,MA,Assonet,4125,41.78,-71.06
2703,MA,Attleboro,43593,41.93,-71.29
2713,MA,Cuttyhunk,52,41.45,-70.8
2715,MA,Dighton,3123,41.81,-71.11
2717,MA,East Freetown,4745,41.75,-70.97
2718,MA,East Taunton,6655,41.87,-71.01
2719,MA,Fairhaven,15873,41.63,-70.9
2720,MA,Fall River,30287,41.71,-71.1
2721,MA,Fall River,26290,41.71,-71.1
2723,MA,Fall River,14767,41.71,-71.1
2724,MA,Fall River,16908,41.71,-71.1
2725,MA,Somerset,2631,41.73,-71.15
2726,MA,Somerset,15534,41.73,-71.15
2738,MA,Marion,4907,41.7,-70.76
2739,MA,Mattapoisett,6045,41.66,-70.8
2740,MA,New Bedford,43087,41.66,-70.93
2743,MA,Acushnet,10307,41.68,-70.9
2744,MA,New Bedford,11900,41.66,-70.93
2745,MA,New Bedford,24576,41.66,-70.93
2746,MA,New Bedford,15342,41.66,-70.93
2747,MA,North Dartmouth,22927,41.64,-71
2748,MA,South Dartmouth,11442,41.55,-70.98
2760,MA,North Attleboro,26739,41.97,-71.33
2762,MA,Plainville,8264,42,-71.33
2763,MA,Attleboro Falls,1973,41.97,-71.3
2764,MA,North Dighton,3988,41.85,-71.15
2766,MA,Norton,19031,41.96,-71.18
2767,MA,Raynham,13566,41.93,-71.04
2769,MA,Rehoboth,11608,41.83,-71.26
2770,MA,Rochester,5093,41.73,-70.81
2771,MA,Seekonk,13708,41.81,-71.33
2777,MA,Swansea,15840,41.75,-71.18
2779,MA,Berkley,6411,41.85,-71.08
2780,MA,Taunton,49036,41.9,-71.09
2790,MA,Westport,15717,41.66,-71.1
2791,MA,Westport Point,246,41.52,-71.07
2802,RI,Albion,786,41.95,-71.45
2804,RI,Ashaway,2607,41.42,-71.78
2806,RI,Barrington,16310,41.73,-71.31
2807,RI,Block Island,1051,41.16,-71.58
2808,RI,Bradford,2401,41.39,-71.75
2809,RI,Bristol,22938,41.67,-71.27
2812,RI,Carolina,1497,41.47,-71.64
2813,RI,Charlestown,7831,41.38,-71.65
2814,RI,Chepachet,7496,41.91,-71.7
2815,RI,Clayville,278,41.77,-71.66
2816,RI,Coventry,32611,41.68,-71.66
2817,RI,West Greenwich,6135,41.63,-71.65
2818,RI,East Greenwich,18082,41.63,-71.5
2822,RI,Exeter,6111,41.56,-71.68
2825,RI,Foster,5377,41.85,-71.76
2826,RI,Glendale,791,41.97,-71.69
2827,RI,Greene,2172,41.69,-71.74
2828,RI,Greenville,7704,41.87,-71.55
2830,RI,Harrisville,5976,41.96,-71.67
2831,RI,Hope,3515,41.75,-71.56
2832,RI,Hope Valley,4608,41.51,-71.72
2833,RI,Hopkinton,784,41.45,-71.78
2835,RI,Jamestown,5405,41.48,-71.36
2836,RI,Kenyon,136,41.48,-71.68
2837,RI,Little Compton,3492,41.5,-71.16
2838,RI,Manville,3400,41.96,-71.47
2839,RI,Mapleville,1902,41.97,-71.69
2840,RI,Newport,23335,41.47,-71.3
2841,RI,Newport,1392,41.52,-71.3
2842,RI,Middletown,16095,41.51,-71.27
2852,RI,North Kingstown,22551,41.55,-71.46
2857,RI,North Scituate,8412,41.83,-71.63
2858,RI,Oakland,570,41.96,-71.64
2859,RI,Pascoag,6738,41.95,-71.7
2860,RI,Pawtucket,45199,41.87,-71.37
2861,RI,Pawtucket,14,41.87,-71.37
2861,RI,Pawtucket,26164,41.87,-71.37
2863,RI,Central Falls,19385,41.88,-71.39
2864,RI,Cumberland,33396,41.94,-71.41
2865,RI,Lincoln,16951,41.91,-71.45
2871,RI,Portsmouth,17171,41.6,-71.25
2872,RI,Prudence Island,218,41.6,-71.31
2873,RI,Rockville,235,41.44,-71.77
2874,RI,Saunderstown,5860,41.51,-71.44
2875,RI,Shannock,307,41.46,-71.67
2876,RI,Slatersville,430,41.97,-71.55
2878,RI,Tiverton,15780,41.65,-71.2
2879,RI,Wakefield,20371,41.45,-71.51
2881,RI,Kingston,7841,41.47,-71.52
2882,RI,Narragansett,14184,41.39,-71.48
2885,RI,Warren,10627,41.71,-71.26
2886,RI,Warwick,29269,41.7,-71.42
2888,RI,Warwick,19912,41.7,-71.42
2889,RI,Warwick,28217,41.7,-71.42
2891,RI,Westerly,21198,41.37,-71.81
